period,origin_code,origin,destination_code,destination,people,male,female,level,source_status,source_endpoint
202605,3000000000,대전광역시,4600000000,전라남도,112,59,53,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,4700000000,경상북도,204,122,82,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,4800000000,경상남도,152,95,57,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,5000000000,제주특별자치도,38,24,14,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,5100000000,강원특별자치도,132,71,61,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3000000000,대전광역시,5200000000,전북특별자치도,258,126,132,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,1100000000,서울특별시,382,179,203,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,2600000000,부산광역시,758,440,318,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,2700000000,대구광역시,249,139,110,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,2800000000,인천광역시,97,55,42,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,2900000000,광주광역시,28,16,12,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,3000000000,대전광역시,89,48,41,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,3100000000,울산광역시,5397,2800,2597,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,3600000000,세종특별자치시,28,14,14,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,4100000000,경기도,374,229,145,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,4300000000,충청북도,73,52,21,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,4400000000,충청남도,127,79,48,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,4600000000,전라남도,67,46,21,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,4700000000,경상북도,554,328,226,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,4800000000,경상남도,490,319,171,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,5000000000,제주특별자치도,48,28,20,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,5100000000,강원특별자치도,41,27,14,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3100000000,울산광역시,5200000000,전북특별자치도,38,27,11,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,1100000000,서울특별시,346,167,179,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,2600000000,부산광역시,47,21,26,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,2700000000,대구광역시,50,31,19,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,2800000000,인천광역시,53,28,25,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,2900000000,광주광역시,26,12,14,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,3000000000,대전광역시,465,246,219,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,3100000000,울산광역시,11,7,4,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,3600000000,세종특별자치시,1246,629,617,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,4100000000,경기도,353,166,187,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,4300000000,충청북도,302,158,144,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,4400000000,충청남도,309,163,146,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,4600000000,전라남도,35,17,18,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,4700000000,경상북도,59,30,29,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,4800000000,경상남도,53,30,23,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,5000000000,제주특별자치도,14,7,7,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,5100000000,강원특별자치도,29,16,13,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,3600000000,세종특별자치시,5200000000,전북특별자치도,88,45,43,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4100000000,경기도,1100000000,서울특별시,18020,8858,9162,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4100000000,경기도,2600000000,부산광역시,917,528,389,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4100000000,경기도,2700000000,대구광역시,728,427,301,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4100000000,경기도,2800000000,인천광역시,5274,2826,2448,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4100000000,경기도,2900000000,광주광역시,563,318,245,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4100000000,경기도,3000000000,대전광역시,1146,637,509,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4100000000,경기도,3100000000,울산광역시,284,169,115,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4100000000,경기도,3600000000,세종특별자치시,384,211,173,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4100000000,경기도,4100000000,경기도,89565,45895,43670,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4100000000,경기도,4300000000,충청북도,1886,1097,789,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4100000000,경기도,4400000000,충청남도,3089,1777,1312,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4100000000,경기도,4600000000,전라남도,898,501,397,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4100000000,경기도,4700000000,경상북도,1214,720,494,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4100000000,경기도,4800000000,경상남도,976,575,401,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4100000000,경기도,5000000000,제주특별자치도,561,306,255,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4100000000,경기도,5100000000,강원특별자치도,2027,1170,857,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4100000000,경기도,5200000000,전북특별자치도,942,536,406,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4300000000,충청북도,1100000000,서울특별시,835,433,402,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4300000000,충청북도,2600000000,부산광역시,134,82,52,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4300000000,충청북도,2700000000,대구광역시,135,74,61,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4300000000,충청북도,2800000000,인천광역시,224,122,102,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4300000000,충청북도,2900000000,광주광역시,70,44,26,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4300000000,충청북도,3000000000,대전광역시,597,306,291,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4300000000,충청북도,3100000000,울산광역시,65,45,20,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4300000000,충청북도,3600000000,세종특별자치시,235,123,112,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4300000000,충청북도,4100000000,경기도,1484,860,624,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4300000000,충청북도,4300000000,충청북도,8897,4633,4264,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4300000000,충청북도,4400000000,충청남도,527,283,244,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4300000000,충청북도,4600000000,전라남도,82,41,41,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4300000000,충청북도,4700000000,경상북도,281,169,112,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4300000000,충청북도,4800000000,경상남도,156,94,62,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4300000000,충청북도,5000000000,제주특별자치도,49,25,24,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4300000000,충청북도,5100000000,강원특별자치도,262,138,124,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4300000000,충청북도,5200000000,전북특별자치도,163,100,63,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4400000000,충청남도,1100000000,서울특별시,1188,572,616,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4400000000,충청남도,2600000000,부산광역시,155,91,64,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4400000000,충청남도,2700000000,대구광역시,130,77,53,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4400000000,충청남도,2800000000,인천광역시,537,309,228,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4400000000,충청남도,2900000000,광주광역시,122,77,45,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4400000000,충청남도,3000000000,대전광역시,1007,554,453,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4400000000,충청남도,3100000000,울산광역시,94,59,35,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4400000000,충청남도,3600000000,세종특별자치시,249,126,123,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4400000000,충청남도,4100000000,경기도,2420,1403,1017,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4400000000,충청남도,4300000000,충청북도,569,312,257,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4400000000,충청남도,4400000000,충청남도,10385,5520,4865,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4400000000,충청남도,4600000000,전라남도,180,104,76,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4400000000,충청남도,4700000000,경상북도,260,154,106,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4400000000,충청남도,4800000000,경상남도,236,145,91,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4400000000,충청남도,5000000000,제주특별자치도,79,40,39,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4400000000,충청남도,5100000000,강원특별자치도,226,122,104,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4400000000,충청남도,5200000000,전북특별자치도,400,233,167,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4600000000,전라남도,1100000000,서울특별시,693,333,360,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4600000000,전라남도,2600000000,부산광역시,197,113,84,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4600000000,전라남도,2700000000,대구광역시,80,48,32,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4600000000,전라남도,2800000000,인천광역시,187,89,98,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4600000000,전라남도,2900000000,광주광역시,2012,1033,979,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4600000000,전라남도,3000000000,대전광역시,154,77,77,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4600000000,전라남도,3100000000,울산광역시,67,49,18,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4600000000,전라남도,3600000000,세종특별자치시,31,15,16,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4600000000,전라남도,4100000000,경기도,883,482,401,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4600000000,전라남도,4300000000,충청북도,131,84,47,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4600000000,전라남도,4400000000,충청남도,217,125,92,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4600000000,전라남도,4600000000,전라남도,7496,3920,3576,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4600000000,전라남도,4700000000,경상북도,109,68,41,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4600000000,전라남도,4800000000,경상남도,255,178,77,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4600000000,전라남도,5000000000,제주특별자치도,83,49,34,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4600000000,전라남도,5100000000,강원특별자치도,87,49,38,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4600000000,전라남도,5200000000,전북특별자치도,345,177,168,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4700000000,경상북도,1100000000,서울특별시,924,464,460,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4700000000,경상북도,2600000000,부산광역시,655,361,294,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4700000000,경상북도,2700000000,대구광역시,3219,1685,1534,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4700000000,경상북도,2800000000,인천광역시,235,148,87,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4700000000,경상북도,2900000000,광주광역시,65,40,25,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4700000000,경상북도,3000000000,대전광역시,262,140,122,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4700000000,경상북도,3100000000,울산광역시,455,250,205,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4700000000,경상북도,3600000000,세종특별자치시,58,30,28,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4700000000,경상북도,4100000000,경기도,1267,752,515,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4700000000,경상북도,4300000000,충청북도,339,195,144,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4700000000,경상북도,4400000000,충청남도,308,178,130,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4700000000,경상북도,4600000000,전라남도,107,74,33,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4700000000,경상북도,4700000000,경상북도,10737,5697,5040,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4700000000,경상북도,4800000000,경상남도,576,335,241,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4700000000,경상북도,5000000000,제주특별자치도,78,42,36,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4700000000,경상북도,5100000000,강원특별자치도,218,128,90,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4700000000,경상북도,5200000000,전북특별자치도,92,51,41,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4800000000,경상남도,1100000000,서울특별시,930,473,457,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4800000000,경상남도,2600000000,부산광역시,2861,1493,1368,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4800000000,경상남도,2700000000,대구광역시,628,322,306,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4800000000,경상남도,2800000000,인천광역시,207,126,81,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4800000000,경상남도,2900000000,광주광역시,96,57,39,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4800000000,경상남도,3000000000,대전광역시,192,94,98,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4800000000,경상남도,3100000000,울산광역시,432,251,181,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4800000000,경상남도,3600000000,세종특별자치시,64,32,32,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4800000000,경상남도,4100000000,경기도,1120,658,462,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4800000000,경상남도,4300000000,충청북도,197,125,72,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4800000000,경상남도,4400000000,충청남도,273,154,119,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4800000000,경상남도,4600000000,전라남도,241,154,87,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4800000000,경상남도,4700000000,경상북도,656,392,264,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,4800000000,경상남도,4800000000,경상남도,15066,7986,7080,sido,official_mois,ppltnDataStus/selectPpltnDataStus
