origin,destination,people,reason_group,source_status,period,origin_code,destination_code
충청북도,세종특별자치시,235,population_movement,official_mois,202605,4300000000,3600000000
경상북도,인천광역시,235,population_movement,official_mois,202605,4700000000,2800000000
강원특별자치도,경상북도,233,population_movement,official_mois,202605,5100000000,4700000000
충청남도,강원특별자치도,226,population_movement,official_mois,202605,4400000000,5100000000
충청북도,인천광역시,224,population_movement,official_mois,202605,4300000000,2800000000
경상북도,강원특별자치도,218,population_movement,official_mois,202605,4700000000,5100000000
전라남도,충청남도,217,population_movement,official_mois,202605,4600000000,4400000000
인천광역시,대전광역시,212,population_movement,official_mois,202605,2800000000,3000000000
대구광역시,충청남도,211,population_movement,official_mois,202605,2700000000,4400000000
강원특별자치도,충청남도,211,population_movement,official_mois,202605,5100000000,4400000000
경상남도,인천광역시,207,population_movement,official_mois,202605,4800000000,2800000000
대전광역시,경상북도,204,population_movement,official_mois,202605,3000000000,4700000000
전북특별자치도,인천광역시,204,population_movement,official_mois,202605,5200000000,2800000000
대구광역시,울산광역시,202,population_movement,official_mois,202605,2700000000,3100000000
인천광역시,경상남도,200,population_movement,official_mois,202605,2800000000,4800000000
대구광역시,충청북도,199,population_movement,official_mois,202605,2700000000,4300000000
전라남도,부산광역시,197,population_movement,official_mois,202605,4600000000,2600000000
경상남도,충청북도,197,population_movement,official_mois,202605,4800000000,4300000000
대전광역시,인천광역시,194,population_movement,official_mois,202605,3000000000,2800000000
경상남도,대전광역시,192,population_movement,official_mois,202605,4800000000,3000000000
대구광역시,대전광역시,190,population_movement,official_mois,202605,2700000000,3000000000
인천광역시,전라남도,188,population_movement,official_mois,202605,2800000000,4600000000
전라남도,인천광역시,187,population_movement,official_mois,202605,4600000000,2800000000
전북특별자치도,충청북도,183,population_movement,official_mois,202605,5200000000,4300000000
부산광역시,충청남도,182,population_movement,official_mois,202605,2600000000,4400000000
제주특별자치도,부산광역시,182,population_movement,official_mois,202605,5000000000,2600000000
인천광역시,부산광역시,180,population_movement,official_mois,202605,2800000000,2600000000
충청남도,전라남도,180,population_movement,official_mois,202605,4400000000,4600000000
부산광역시,제주특별자치도,171,population_movement,official_mois,202605,2600000000,5000000000
부산광역시,충청북도,171,population_movement,official_mois,202605,2600000000,4300000000
강원특별자치도,대전광역시,170,population_movement,official_mois,202605,5100000000,3000000000
부산광역시,전라남도,164,population_movement,official_mois,202605,2600000000,4600000000
광주광역시,충청남도,164,population_movement,official_mois,202605,2900000000,4400000000
충청북도,전북특별자치도,163,population_movement,official_mois,202605,4300000000,5200000000
부산광역시,대전광역시,160,population_movement,official_mois,202605,2600000000,3000000000
대전광역시,대구광역시,156,population_movement,official_mois,202605,3000000000,2700000000
충청북도,경상남도,156,population_movement,official_mois,202605,4300000000,4800000000
충청남도,부산광역시,155,population_movement,official_mois,202605,4400000000,2600000000
전라남도,대전광역시,154,population_movement,official_mois,202605,4600000000,3000000000
경상남도,강원특별자치도,153,population_movement,official_mois,202605,4800000000,5100000000
광주광역시,인천광역시,152,population_movement,official_mois,202605,2900000000,2800000000
대전광역시,경상남도,152,population_movement,official_mois,202605,3000000000,4800000000
대구광역시,인천광역시,149,population_movement,official_mois,202605,2700000000,2800000000
대전광역시,부산광역시,148,population_movement,official_mois,202605,3000000000,2600000000
인천광역시,제주특별자치도,142,population_movement,official_mois,202605,2800000000,5000000000
광주광역시,대전광역시,136,population_movement,official_mois,202605,2900000000,3000000000
강원특별자치도,대구광역시,135,population_movement,official_mois,202605,5100000000,2700000000
충청북도,대구광역시,135,population_movement,official_mois,202605,4300000000,2700000000
충청북도,부산광역시,134,population_movement,official_mois,202605,4300000000,2600000000
대전광역시,강원특별자치도,132,population_movement,official_mois,202605,3000000000,5100000000
전라남도,충청북도,131,population_movement,official_mois,202605,4600000000,4300000000
인천광역시,대구광역시,130,population_movement,official_mois,202605,2800000000,2700000000
충청남도,대구광역시,130,population_movement,official_mois,202605,4400000000,2700000000
울산광역시,충청남도,127,population_movement,official_mois,202605,3100000000,4400000000
강원특별자치도,부산광역시,127,population_movement,official_mois,202605,5100000000,2600000000
전북특별자치도,경상남도,124,population_movement,official_mois,202605,5200000000,4800000000
충청남도,광주광역시,122,population_movement,official_mois,202605,4400000000,2900000000
제주특별자치도,경상남도,122,population_movement,official_mois,202605,5000000000,4800000000
제주특별자치도,인천광역시,121,population_movement,official_mois,202605,5000000000,2800000000
전북특별자치도,경상북도,120,population_movement,official_mois,202605,5200000000,4700000000
강원특별자치도,경상남도,119,population_movement,official_mois,202605,5100000000,4800000000
경상남도,전북특별자치도,119,population_movement,official_mois,202605,4800000000,5200000000
대구광역시,강원특별자치도,117,population_movement,official_mois,202605,2700000000,5100000000
인천광역시,광주광역시,117,population_movement,official_mois,202605,2800000000,2900000000
