period,origin_code,origin,destination_code,destination,people,male,female,age_0_14,age_0_14_male,age_0_14_female,age_15_24,age_15_24_male,age_15_24_female,age_25_39,age_25_39_male,age_25_39_female,age_40_54,age_40_54_male,age_40_54_female,age_55_64,age_55_64_male,age_55_64_female,age_65_plus,age_65_plus_male,age_65_plus_female,level,source_status,source_endpoint
202605,2700000000,대구광역시,4800000000,경상남도,542,284,258,23,11,12,87,44,43,224,114,110,92,53,39,63,35,28,53,27,26,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2700000000,대구광역시,5000000000,제주특별자치도,79,35,44,3,2,1,17,8,9,29,12,17,17,8,9,11,4,7,2,1,1,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2700000000,대구광역시,5100000000,강원특별자치도,117,67,50,6,1,5,25,15,10,53,38,15,20,8,12,7,3,4,6,2,4,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2700000000,대구광역시,5200000000,전북특별자치도,72,43,29,2,1,1,19,7,12,34,26,8,9,5,4,5,3,2,3,1,2,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,1100000000,서울특별시,2642,1299,1343,112,49,63,411,144,267,1348,689,659,395,229,166,195,100,95,181,88,93,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,2600000000,부산광역시,180,91,89,4,2,2,35,13,22,82,51,31,28,14,14,16,8,8,15,3,12,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,2700000000,대구광역시,130,77,53,7,4,3,30,14,16,59,34,25,20,15,5,8,5,3,6,5,1,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,2800000000,인천광역시,17139,8738,8401,1576,855,721,1576,750,826,5991,3131,2860,3687,1946,1741,2192,1118,1074,2117,938,1179,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,2900000000,광주광역시,117,78,39,4,2,2,29,19,10,49,34,15,18,12,6,9,5,4,8,6,2,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,3000000000,대전광역시,212,115,97,6,3,3,70,36,34,91,55,36,22,9,13,16,9,7,7,3,4,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,3100000000,울산광역시,64,37,27,0,0,0,7,3,4,38,23,15,7,5,2,5,2,3,7,4,3,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,3600000000,세종특별자치시,74,45,29,2,1,1,21,12,9,23,15,8,12,8,4,7,6,1,9,3,6,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,4100000000,경기도,4518,2422,2096,280,151,129,485,215,270,1982,1097,885,849,492,357,476,275,201,446,192,254,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,4300000000,충청북도,270,151,119,5,4,1,79,37,42,90,56,34,31,20,11,35,22,13,30,12,18,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,4400000000,충청남도,620,373,247,25,13,12,131,67,64,214,134,80,98,63,35,92,64,28,60,32,28,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2800000000,인천광역시,4600000000,전라남도,188,114,74,5,2,3,25,14,11,56,37,19,35,23,12,36,22,14,31,16,15,sido,official_mois,ppltnDataStus/selectPpltnDataStus
